id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1224844990892986368,1224448295046565898,2020-02-05 07:59:37 CST,2020-02-05,07:59:37,+0800,325779886,fer_machado123,Fer Machado,,"@tugajr2 @OmidFarhang @BurgerKing @businessinsider My dad was a civil engineer professor at the army. He was born in the Amazon and joined the army to study. My mom speaks Portuguese, French and Italian but decided to focus on raising us as kids. I have a 5 yrs younger sis who lives in Brazil and works for LVMH. Hope this helps!",en,[],[],[],1,0,1,[],[],https://twitter.com/fer_machado123/status/1224844990892986368,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,"[{'screen_name': 'tugajr2', 'name': 'bode benfiquista', 'id': '1120031750321733638'}, {'screen_name': 'OmidFarhang', 'name': 'OMID', 'id': '71738905'}, {'screen_name': 'BurgerKing', 'name': 'Burger King', 'id': '167421802'}, {'screen_name': 'businessinsider', 'name': 'Business Insider', 'id': '20562637'}]",,,,
1224844942419353601,1224839247003295744,2020-02-05 07:59:25 CST,2020-02-05,07:59:25,+0800,2370283937,naveedajamali,Naveed Jamali,,@pavlovhoney1 Do not disagree with that.,en,[],[],[],0,0,2,[],[],https://twitter.com/NaveedAJamali/status/1224844942419353601,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,"[{'screen_name': 'pavlovhoney1', 'name': 'BAS', 'id': '633955315'}]",,,,
1224844780259237892,1224839247003295744,2020-02-05 07:58:46 CST,2020-02-05,07:58:46,+0800,2370283937,naveedajamali,Naveed Jamali,,"@circlesallday He’s also a veteran and somebody who’s campaign on volunteered for, and I stand by my statement.",en,[],[],[],0,0,1,[],[],https://twitter.com/NaveedAJamali/status/1224844780259237892,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,"[{'screen_name': 'circlesallday', 'name': 'PleaseWashHandsMask6Feet', 'id': '2149449360'}]",,,,
1224844304583217166,1224793351867727874,2020-02-05 07:56:53 CST,2020-02-05,07:56:53,+0800,16079505,melissafleming,Melissa Fleming 🇺🇳,,@Laconic_doc @Joanna__Hardy Thank you for this beautiful recommendation. Doaa’s story continues to move people and change views.,en,[],[],[],1,0,1,[],[],https://twitter.com/MelissaFleming/status/1224844304583217166,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,"[{'screen_name': 'Laconic_doc', 'name': 'Dr Kit Byatt', 'id': '3230864219'}, {'screen_name': 'Joanna__Hardy', 'name': 'Joanna Hardy', 'id': '1352788244'}]",,,,
1224843870330150912,1224843870330150912,2020-02-05 07:55:09 CST,2020-02-05,07:55:09,+0800,56097286,ryansongalia,Ryan Songalia,,"Moderator points out that Warren got more scrutiny than Sanders over how to pay for Medicare For All. Hope to hear someone point out that Sanders was up front about raising taxes, while Warren had said she wouldn’t. And just as I’m typing this, Goldberg brings this up",en,[],[],[],1,1,3,[],[],https://twitter.com/ryansongalia/status/1224843870330150912,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,[],,,,
1224842466282655745,1224826573087559680,2020-02-05 07:49:35 CST,2020-02-05,07:49:35,+0800,4789531,liquidtodd,Liquid Todd,,@PeterHimler @cnnbrk Put it away for a while. You’ll feel better.,en,[],[],[],0,0,4,[],[],https://twitter.com/liquidtodd/status/1224842466282655745,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,"[{'screen_name': 'PeterHimler', 'name': 'Peter Himler', 'id': '9547482'}, {'screen_name': 'cnnbrk', 'name': 'CNN Breaking News', 'id': '428333'}]",,,,
1224841983400779778,1224841983400779778,2020-02-05 07:47:39 CST,2020-02-05,07:47:39,+0800,56097286,ryansongalia,Ryan Songalia,,"Malone says “electability” has come to mean, “who will white men in six swing states vote for?” Laments that sexism, like racism may never truly go away",en,[],[],[],0,0,1,[],[],https://twitter.com/ryansongalia/status/1224841983400779778,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,[],,,,
1224841412396621825,1224839247003295744,2020-02-05 07:45:23 CST,2020-02-05,07:45:23,+0800,2370283937,naveedajamali,Naveed Jamali,,"Pete is a white man from the heartland. Nothing against him, but is that real diversity? I believe the future of this country lies in cities on the coast, and that’s the values that I want to see in Washington.",en,[],[],[],13,9,53,[],[],https://twitter.com/NaveedAJamali/status/1224841412396621825,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,[],,,,
1224841171945623552,1224841171945623552,2020-02-05 07:44:26 CST,2020-02-05,07:44:26,+0800,56097286,ryansongalia,Ryan Songalia,,.@jbouie on worst practices of 2016 Election coverage: “Media didn’t communicate the stakes of the election very well.” Highlights Supreme Court appointees and loss of ACA,en,"[{'screen_name': 'jbouie', 'name': 'b-boy bouiebaisse', 'id': '14190948'}]",[],[],1,2,2,[],[],https://twitter.com/ryansongalia/status/1224841171945623552,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,[],,,,
1224841159807315974,1224799647572615168,2020-02-05 07:44:23 CST,2020-02-05,07:44:23,+0800,234231415,desire_renee,Desi,,@LeeBruhGreene @BiancaEnRogue Yes to the Diddy crop!,en,[],[],[],0,0,0,[],[],https://twitter.com/Desire_Renee/status/1224841159807315974,False,,0,,,"40.7580002,-73.985997,2.99km",,,,,"[{'screen_name': 'LeeBruhGreene', 'name': 'Mary-Marie PLONZA', 'id': '19089967'}, {'screen_name': 'BiancaEnRogue', 'name': 'Pusha Bi.', 'id': '164520362'}]",,,,
